,starts,ends
0,76.9712140175219,79.01543596161869
1,83.22903629536921,86.10763454317897
2,87.52607425949104,88.4438881935753
3,127.7430120984564,128.20191906549854
4,138.8819357530246,140.17521902377973
5,143.2206925323321,149.1447642886942
6,154.31789737171465,155.27743012098458
7,156.48727576136838,157.90571547768045
8,185.73216520650814,187.3174801835628
9,213.68377138089278,215.3942428035044
10,222.31956612432208,223.52941176470588
11,224.61410095953275,231.45598664997914
12,233.16645807259076,236.1284939507718
13,246.89194826866918,249.35335836462247
14,250.73007926574886,252.5657071339174
15,273.0913642052566,273.25823946599917
16,277.30496453900713,277.8890279516062
17,282.4780976220276,283.60450563204006
18,288.2352941176471,288.7776387150605
19,293.24155193992493,295.6195244055069
20,303.8381309970797,304.6725073007927
21,316.39549436795994,317.56362119315816
22,335.0855235711306,336.2953692115144
23,380.8510638297873,383.0621610346266
24,413.6837713808928,414.1426783479349
25,432.4572382144347,433.375052148519
26,437.00458906967043,439.7163120567376
27,460.49228201919067,461.57697121401753
28,471.75636211931584,474.8018356278682
29,475.8448060075094,477.8890279516062
30,482.186065915728,483.2707551105549
31,494.74342928660826,495.2440550688361
32,498.66499791405926,499.8748435544431
33,599.4159365874009,600.1668752607426
34,623.6545682102628,624.7809762202754
35,627.2423863162287,628.2853566958698
36,680.0584063412599,682.7701293283271
37,702.4196912807677,703.7129745515227
38,722.0692532332082,722.9453483521069
39,727.7430120984565,729.9123904881102
40,731.7897371714644,733.7088026700042
41,736.6291197329996,738.3395911556112
42,738.8819357530247,739.3408427200668
43,748.0600750938673,750.1877346683355
44,751.6896120150188,752.3571130579892
45,754.6516478931999,755.1939924906133
46,760.2002503128912,761.5352523988319
47,762.5365039632875,762.7868168544014
48,779.1405924071756,780.1835627868169
49,785.398414685023,787.6095118898623
50,788.5690446391322,789.5285773884023
51,790.8218606591573,791.6145181476846
52,792.4488944513976,794.1593658740093
53,820.1501877346684,821.1514392991239
54,838.5899040467251,839.424280350438
55,859.7830621610346,860.450563204005
56,871.506049228202,872.3821443471006
57,874.9687108886108,878.5565289945766
58,880.642469753859,883.6462244472258
59,942.8035043804756,944.0967876512308
60,954.1927409261577,954.7350855235712
61,982.436378806842,990.2377972465582
62,992.3654568210263,996.6207759699626
63,1010.1793909052983,1011.764705882353
64,1069.2532332081769,1070.921985815603
65,1088.2770129328328,1090.863579474343
66,1167.584480600751,1168.3354192740926
67,1171.6312056737588,1173.758865248227
68,1189.7788902795162,1190.6549853984147
69,1208.2603254067585,1209.261576971214
70,1380.308719232374,1381.351689612015
71,1400.6257822277848,1402.0442219440968
72,1422.9870671672925,1424.2803504380477
73,1435.4192740926158,1437.546933667084
74,1438.7984981226534,1439.7163120567377
75,1442.052565707134,1443.1789737171464
76,1448.0183562786817,1448.811013767209
77,1450.0625782227785,1456.9044639132248
78,1457.7805590321236,1459.032123487693
79,1463.5794743429287,1464.497288277013
80,1480.8510638297873,1482.9787234042553
81,1524.1969128076764,1525.2398831873174
82,1579.1405924071757,1580.183562786817
83,1587.901543596162,1590.7801418439717
84,1592.8660826032542,1595.369211514393
85,1596.5790571547768,1598.581560283688
86,1600.7509386733418,1603.5878181059659
87,1606.42469753859,1608.3437630371297
88,1609.762202753442,1615.310805173133
89,1668.418856904464,1668.8777638715062
90,1669.5452649144765,1672.8410513141428
91,1684.7726324572384,1687.9849812265331
92,1703.7129745515228,1705.590321234877
93,1706.7584480600751,1707.5928243637882
94,1723.8214434710055,1725.1147267417607
95,1726.4914476428871,1727.909887359199
96,1733.4584897788905,1734.9603671255736
97,1742.4697538589905,1743.0538172715897
98,1744.1385064664164,1746.3496036712559
99,1747.6846057571966,1748.1852315394244
100,1761.410095953275,1762.2027534418023
101,1825.8239465999166,1827.5344180225281
102,1835.878181059658,1836.7959949937422
103,1842.9703796412182,1845.5152273675428
104,1846.0158531497707,1846.808510638298
105,1849.895702962036,1851.1472674176055
106,1860.7843137254904,1862.5782227784732
107,1942.2194409678766,1942.9703796412182
108,1952.9411764705883,1953.817271589487
109,1957.6971214017524,1958.322903629537
110,2046.6416353775553,2047.9766374634962
111,2123.529411764706,2124.363788068419
112,2130.538172715895,2131.5394242803504
113,2142.5114726741763,2143.2624113475176
114,2156.320400500626,2157.0713391739678
115,2176.261994159366,2177.805590321235
116,2180.6841885690446,2181.643721318315
117,2182.561535252399,2183.020442219441
118,2183.646224447226,2184.105131414268
119,2184.9812265331666,2185.52357113058
120,2189.820609094702,2190.32123487693
121,2190.9887359199,2191.239048811014
122,2231.9148936170213,2232.540675844806
123,2239.090529828953,2239.6328744263665
124,2246.349603671256,2249.0196078431372
125,2261.1597830621613,2263.6629119733
126,2270.2544847726326,2271.0888610763454
127,2277.8890279516063,2278.389653733834
128,2306.090947017105,2308.176887776387
129,2315.5611180642472,2319.607843137255
130,2322.2361284939507,2323.988318731748
131,2329.620358781811,2331.748018356279
132,2335.0855235711306,2339.924906132666
133,2347.142261159783,2349.311639549437
134,2353.566958698373,2359.2407175636213
135,2365.5819774718398,2366.416353775553
136,2377.47183979975,2378.347934918648
137,2380.2670004171882,2383.771380892783
138,2386.3996662494787,2388.5690446391322
139,2401.2515644555697,2403.420942845223
140,2409.9290780141846,2410.972048393826
141,2412.8076762619944,2413.224864413851
142,2419.6495619524408,2421.068001668753
143,2425.448477263246,2426.7834793491866
144,2433.8339591155614,2438.0892782644974
145,2441.0513141426786,2446.0575719649564
146,2468.919482686692,2469.7955778055903
147,2478.4313725490197,2479.140592407176
148,2494.6599916562373,2495.7029620358785
149,2504.8393825615353,2505.0896954526493
150,2515.7279933249897,2516.145181476846
151,2655.819774718398,2657.2382144347102
152,2689.9874843554444,2691.0304547350856
153,2752.1902377972465,2752.9411764705883
154,2756.4038381309974,2756.821026282854
155,2760.492282019191,2761.4935335836462
156,2766.2077596996246,2768.544013350021
157,2770.7551105548605,2771.756362119316
158,2790.2377972465583,2791.447642886942
159,2799.2490613266586,2800.750938673342
160,2805.0896954526493,2807.1756362119318
161,2810.7634543178974,2811.5978306216107
162,2813.7254901960787,2816.9378389653734
163,2818.272841051314,2819.023779724656
164,2828.7859824780976,2831.4559866499794
165,2871.0054234459744,2872.3821443471006
166,2877.930746766792,2883.1873174801835
167,2893.3249895702966,2894.4931163954943
168,2896.7459324155197,2898.6649979140593
169,2903.003754693367,2903.671255736337
170,2911.4726741760537,2915.769712140175
171,2923.070504797664,2923.654568210263
172,2944.347100542345,2944.7642886942012
173,2953.1497705465167,2953.5252398831876
174,2956.654151022111,2957.154776804339
175,2960.325406758448,2960.867751355862
176,2964.163537755528,2964.5807259073845
177,2967.7513558614937,2968.0851063829787
178,2971.297455152274,2971.7146433041303
179,2974.7601168126826,2975.219023779725
