progress,content,ctime,midHash,weight,idStr
0.0,amazing‘’,1554287656,c23a5445,0,14232050284363778
0.0,空降,1509651448,f3ee14ec,0,3937021095
0.578,45分左右很美,1519004569,f09e1c8d,0,4316932586
1.046,我是从优酷过来的 主要因为想顺便看看大家的弹幕,1536858592,8caf5f30,0,5094200845008896
1.266,啊啊啊这个还在 撑住！,1499933044,6da0a6b8,0,3554136410
1.266,来自2017.7.13 这日子你们懂的,1499933045,6da0a6b8,0,3554138095
2.474,233我来了,1517736105,2cf9c3b5,0,4253882319
2.616,超喜欢洞穴,1506084529,2da00400,0,3829021300
3.925,十一号调查兵团。弹幕测试。如有奇怪弹幕请无视,1515335919,5c3ca3a2,0,4164983170
4.789,郁长修牛逼,1556469293,9594dc6f,0,15375856228630530
4.828,深渊,1532239201,6d4ea862,0,2672309845884928
5.13,汇文大军路过,1519213157,f9fc701,0,4328098063
5.619,撑住，同志们,1501408477,3b0a0eba,0,3625954086
7.242,有人吗？,1531015478,325c4d9b,0,2030726408568832
7.497,啊啊啊啊啊撑住!!,1517211783,2e360e95,0,4224751322
7.498,玉长修牛逼,1556469309,9594dc6f,0,15375864856838144
7.789,汇文的别跑h h h h,1519381113,7e7a5c7c,0,4335602426
8.96,跳过来的好奇,1525274556,c8b0c6be,0,4506335447
9.472,第一,1497395264,afcc67a5,0,3456312829
9.681,来了来了,1552584158,8d93e7e3,0,13338926589149184
9.727,弹幕呢,1500519674,8528faab,0,3580825186
10.069,49分开始超美的水晶洞、挺不过前面的萌新可以直接空降,1508007443,1c0d5999,0,3894676799
10.246,继续继续来咯,1505389285,a422c169,0,3811118722
10.921,报到,1514384979,b40865fc,0,4064644869
11.629,我在这里,1510800516,e289d32e,0,3967177193
11.977,才第四集就没人了？,1499746349,805fd01c,0,3545606476
12.128,不要有蛇,1515491036,a3497d78,0,4168694987
12.378,看纪录片就应该屏蔽弹幕,1503030550,3c819f98,0,3713048175
12.398,广西＋1,1529922180,614ef97d,0,1457523365249024
12.539,求弹幕大神,1501408490,3b0a0eba,0,3625955003
13.059,等等不要透露,1534918682,3950b4a0,0,4077129496526850
13.449,planet earth,1501363835,ad0a88b,0,3623620823
13.653,略略略,1502451872,4573e59a,0,3681961809
13.941,广西那位等我！,1528159240,1601234d,0,533235281952770
13.998,期待！,1557407890,66d13bf9,0,15867951606398978
14.864,直接跳洞穴这集...感觉会很有意思( ´艸｀),1538988902,fc38f4b4,0,6211097180766272
14.891,啦啦啦,1509880782,e23390ff,0,3944290621
