progress,content,ctime,midHash,weight,idStr
0.0,BBC 1922年成立的,1552626479,3817c87a,0,13361114818543618
0.0,a-z,1553337528,406a6225,0,13733909479555072
0.0,7土谷公园,1556767123,be8bbc93,0,15532005136531460
0.0,以前1080P的怎么失效了,1497366676,56c9e164,0,3455834837
0.0,。,1527824948,5d70d889,0,357969952243714
0.0,关闭弹幕食用更佳,1513502493,c99d8ccb,0,4042581757
0.0,111,1514188100,65679a52,0,4059660656
0.0,感谢,1519829721,d15e8b56,0,4353190524
0.0,b,1538836245,47669641,0,6131061015707650
0.083,好片子，值得一看。,1557734305,f176900f,0,16039087157805058
0.083,锴已阅,1517028021,a306a551,0,4217520862
0.099,↑,1517471234,8677c99e,0,4243831056
0.099,↑,1517471242,8677c99e,0,4243831371
0.099,+1,1517471250,8677c99e,0,4243831723
0.198,前排提示屏蔽   残忍  ,1509597299,1903a0,0,3935496713
0.317,恭喜你发现神作,1514631255,ea3c19a9,0,4141995691
0.338,欢迎来到地球,1517925120,7c2c2175,0,4268425251
0.372,欢迎收看CCTV10记录频道,1496739935,93d5d8c2,0,3435698379
0.518,emmm纪录频道是CCTV9↓,1507514519,5f12f2bd,0,3878770689
0.559,前排提示屏蔽   残忍  ,1509597311,1903a0,0,3935497169
0.578,18(13的举爪),1547870587,75b25962,0,10867657917071362
0.678,关键时刻  脉动回来,1538902118,3af06886,0,6165597018652672
0.682,纪录片群观光团，感谢制作人员,1532172690,c4d93de9,0,2637439058837508
0.692,深中学子前来报道,1549029414,150cdbf1,0,11475216949051394
0.716,建议屏蔽 字幕 表白,1511581495,773760bc,0,3986741133
0.724,前排提示，请屏蔽“吃”字,1531632131,a8a47c88,0,2354030176632836
0.744,建议正则屏蔽[a-z]和[A-Z],1530374534,214ee044,0,1694687059509252
0.878,欢迎欣赏朕的江山,1509545892,6cc73538,0,3934716890
0.911,感谢up主，鸣谢字幕君,1508684520,db23c87,0,3913831442
0.915,为什么CCTV9的没有了,1499706090,81e3a918,0,3544568181
0.973,补片，之前马着一直没来得及看,1524796880,1965d6c7,0,4489779308
0.998,已看,1509449304,5a7e075e,0,3932538601
1.029,6002条弹幕,1527824962,5d70d889,0,357977362530306
1.038,小戴叫我来的,1556449408,c231126,0,15365431029137412
1.1,汇文报道,1519207365,ff903bf1,0,4327757842
1.305,深中报道,1549030763,8799cec8,0,11475924458930180
1.331,为了最科学作业来滴,1550332816,4c50b153,0,12158575254175744
1.352,6000+1,1554084276,2b098584,0,14125420272156674
1.361,东莞实验中心大军准备降临,1548417007,90df0086,0,11154139490287618
1.365,建议屏蔽感谢、膜拜和弹幕等词！……,1511063475,d7fec797,0,3974578154
1.422,有没有生肉或者英文字幕的啊？求指路！！,1521212977,36049de9,0,4391595575
1.497,不喜欢英文字幕，觉得挡的，请自行选择屏蔽底部字幕！,1555756265,182ac14c,0,15002024194605058
1.539,爱奇艺看了的又来一遍,1549895080,b8386216,0,11929075169361920
1.554,万能的b站,1518594272,9d2de673,0,4298110524
1.621,爱死这破站了,1534825369,e0cdb422,0,4028206574206976
1.72,我手机屏幕破了,1544688931,40a619da,0,9199554010808322
1.741,匯文報到 2.23,1519395364,bd385a8a,0,4336596805
1.792,哈哈,1544021270,62a10a29,0,8849507213639680
1.996,既然这个视频是有中文字幕 那么它就是给需要中文字幕的人看的,1539755649,1ff39e15,0,6613093202788352
1.996,你想学英语 请自己去下载带英文字幕的片 没人要惯着你们,1539755710,1ff39e15,0,6613125206376448
2.02,终于能发弹幕了,1511262915,8af9be12,0,3979728761
2.053,强烈建议屏蔽 “英文”“字幕”食用！！,1522223676,d47321,0,4418490390
2.14,感谢UP主贡献,1500174707,61f99ef4,0,3565060356
2.389,2017.8.18 16:39,1503045426,b638577,0,3714109551
2.419,地球脉动，随时随地脉动回来,1518443763,2fb4f947,0,4291987647
2.645,抖音前来参观,1534558591,7e064bc5,0,3888338057560068
2.718,直接屏蔽弹幕吧 不要让别人打扰你,1531916982,847aad5a,0,2503374090534916
2.787,不喜欢有翻译的，自己屏蔽下方字幕,1543930007,161bb10e,0,8801658956939264
2.787,物竞天择，适者生存，别说残忍，为什么不救这类的傻话,1543930086,161bb10e,0,8801700461674496
2.816,很好,1539327306,bfe47fa6,0,6388518290980864
2.837,盖亚,1556983146,a2527fd8,0,15645263509585920
2.862,2017年6月6日00:41:21,1496679160,5066f30a,0,3434374416
2.901,感谢字幕 感谢阿婆主,1549288616,d082bd09,0,11611113451945986
3.022,1,1555733437,a0b62101,0,14990055840415744
3.051,脉动,1555850592,2bb7cfb5,0,15051478958342148
3.082,直接[a-zA-Z]不就行了？,1547656135,bbe7df0,0,10755223314235394
3.14,从幻界战线过来的，我是不是没救了,1533186377,234dec8b,0,3168902666780672
3.242,纪录片群观光团，感谢制作团队,1532172727,c4d93de9,0,2637458442813440
3.331,欢迎收看CCTV9纪录频道,1497870457,1429c7cc,0,3472404652
3.341,首师附的举个爪,1533525812,c2ba0a7c,0,3346864768811012
3.439,强烈建议关闭弹幕观看 虽然这是一个弹幕视频网站,1532771198,1bacd3fa,0,2951229613277184
3.46,看我发现了什么,1541934824,37c9657e,0,7755608463769600
3.469,咔咔咔,1511974979,a5611c9c,0,3997405594
3.498,前面的CCTV10是科教，CCTV9才是纪录。,1496754575,d4d30510,0,3436390867
3.616,惊人的豆瓣评分系列,1532153776,7f365ebe,0,2627522601680900
3.659,堕落王你安利我的哦,1516869525,28b8cbb,0,4212219855
3.716,我们地理老师叫我们来看的,1540038606,b5658b15,0,6761444289806336
3.822,恭喜你发现BBC镇台之宝,1500886432,4579aac0,0,3598971876
4.098,爱死这破站了,1529331820,7c5e3696,0,1148004648615936
4.193,爱死这破站了哇哇哇！！！,1543113023,3666a61e,0,8373324266602496
4.239,建议屏蔽*英文* *字幕*   *英文字幕*等关键词,1509849707,57ad2ce7,0,3942794015
4.265,童年啊QAQ,1548511849,c01ac9de,0,11203863979753474
4.411,惊了,1556018339,36ae11e4,0,15139426545434626
4.52,知乎豆瓣接近满分的纪录片！,1506900380,c80d20e3,0,3851724913
4.542,残忍,1511780540,d5595e41,0,3992646593
4.601,1,1516026766,6a5e0554,0,4184101015
4.639,难得的好东西！赞啊，美哉,1511000490,2f47a0d0,0,3972519021
4.806,"j,km/",1496923690,9ae829eb,0,3441327341
4.918,首项=2  公差=2  请自觉→_→,1497528512,20981897,0,3460352476
5.116,前排提示，屏蔽“字幕”,1509876205,43ac345,0,3944090902
5.219,慕名而来,1509377769,76aa1f4,0,3931317711
5.262,2017.9.5,1504609819,c2f6273d,0,3789834048
5.318,不能缓存不能缓存不能缓存,1502356901,5f3ae1f8,0,3676585990
5.379,哇咔咔,1539158504,abb872d7,0,6300017213046786
5.38,大爱,1557497753,8aa03aa5,0,15915065428410370
5.441,实验晓辉姐教的有吗,1548409417,7817b92,0,11150159824027650
5.517,啊啊特喜欢,1511971755,6fabbb95,0,3997311827
5.521,从知乎来的,1501905851,1f104671,0,3652441510
5.6,111,1556636749,f907ed1e,0,15463651440328708
5.632,来 练听力(*/ω＼*),1496931030,ecb2aef9,0,3441739278
5.812,歡迎收看bbc鎮b之寶,1501994837,37717afa,0,3657198859
5.822,1,1509255415,685f1d1,0,3927671061
5.823,深中报道,1549270120,1832ef15,0,11601416330149890
5.988,直接关闭,1527609034,4cf8672d,0,244768816234498
6.115,欢迎来到朕的江山,1509545936,6cc73538,0,3934718893
6.23,前来考古,1545299896,b645eca9,0,9519875502899202
6.241,社会刚学完,1511668155,a3a29cad,0,3989430439
6.278,震撼,1544691525,6df48919,0,9200914057396224
6.279,地理老师叫来的,1547795931,ba8cc444,0,10828516663230466
6.314,感谢！！！！,1542442323,75ee72da,0,8021684499513344
6.335,21世纪英语报来的小朋友有么,1496920055,39a1226c,0,3441232492
6.351,666,1511864965,c239bd00,0,3994480677
6.4,太棒了！之前想看还找不到！,1537260966,f3e2ee73,0,5305161198075908
6.505,从血界战线过来的,1507563232,9a29f406,0,3880330838
6.581,然然小姐姐我来啦～,1508820059,eaf133f9,0,3916413669
6.66,B站还可以看纪录片啊,1511968712,6db3852a,0,3997187570
6.682,发现我才3级评不了5星，好捉急,1514048467,e13f720e,0,4056039043
6.685,开心,1523719884,4f851932,0,4461155488
6.768,2017.06.07,1496840966,85001de8,0,3439006810
6.826,喜欢❤️风鸟❤️❤️❤️,1513316694,bf65e1f0,0,4036601609
6.912,2017.9.9,1504890243,8c1afb57,0,3797455403
6.916,特喜欢这种类型的,1508587034,b129f529,0,3909947022
6.997,我要吃掉你,1558249663,30487371,0,16309283146694660
7.005,尝试发弹幕,1501096971,1b3f0d98,0,3609996120
7.1,201709032128,1504445164,8e42a3db,0,3785333127
7.139,讲义气关闭弹幕,1529554927,a169802e,0,1264977261363200
7.168,哈哈哈,1514615413,de5a68cf,0,4141290629
7.278,看看朕为你打下的江山,1536328817,58bbbb17,0,4816446193926144
7.34,底下BT的那个别走，我差点就信了。。。,1512209064,44457802,0,4007553968
7.344,欢迎回来,1542203967,f06569b1,0,7896716934643712
7.356,哥们，cctv-9才是记录频道,1501234925,d119f288,0,3616848604
7.358,six..six..six,1512600471,86e76f28,0,4018445837
7.6,假期必刷,1532759123,1a4aa22f,0,2944898951544836
7.661,我来截屏当壁纸,1501018590,8969f61d,0,3605608145
7.664,神级纪录片,1541783842,7044568e,0,7676450431303680
7.68,20170722留念,1500667502,8d65aa0,0,3588548112
7.739,第三遍，3刷！,1534590526,bbd29af5,0,3905081059049474
7.85,2017.10.04  13：30,1507094973,3a2d4c6b,0,3860088963
7.86,我是来学地理的,1511080594,71f44dad,0,3975383851
8.02,我是来练听力的,1512120885,3cf22b5a,0,4004693699
8.021,感谢。,1500300635,765be7d,0,3571412070
8.023,时间,1496761867,8c6661af,0,3436699962
8.106,人呢,1518101551,93c8d55,0,4277213134
8.141,bbc和b站有合作，tg都有了,1521026651,d865f2a4,0,4387099371
8.147,donmo,1557147777,48d3b904,0,15731577222332416
8.261,CCTV10是科教9才是记录频道,1497863132,497d0057,0,3472032678
8.428,星球大战：帝国的毁灭,1540366496,3f05bf33,0,6933352982511616
8.524,关键时刻 脉动回来,1501335859,20be48f0,0,3622395647
8.54,囍,1553311196,73540762,0,13720103969882114
8.642,essssxsooiijvn,1519911477,8b14f585,0,4355894467
8.649,深圳报道,1549030771,8799cec8,0,11475928290951170
8.678,B站竟然有地球脉动！！！,1496722328,eed0eded,0,3434985359
8.697,感谢up主，感谢字幕君！！！,1544862753,b723871c,0,9290686435688448
8.699,看完第三极过来,1535897375,a4804168,0,4590246616367108
8.8,政治老师推荐的，这两天班里一直看,1558183603,74c6410d,0,16274648489000960
8.828,密恐,1503153944,f733ca3f,0,3720411693
8.903,在CCTV看了好几遍这部纪录片，真的超棒！,1496750936,4f4bcc9a,0,3436265027
9.058,问为什么不救的都是不知道纪录片行规的。,1544930459,c2a0c2f1,0,9326184084537344
9.059,我来了  传说中的纪录片,1521198244,c4a2ff53,0,4390898220
9.262,表白b站,1541923176,bed82e66,0,7749501709189120
9.277,我来了hhhh,1555980205,82ad7511,0,15119433465331716
9.3,从知乎来的……,1505104139,9af8ad7d,0,3804447385
9.339,2.21汇文报道,1519207383,ff903bf1,0,4327758822
9.347,你好bbc,1498899917,59535b44,0,3509591290
9.458,全球纪录片最高水平,1546855672,4ac03667,0,10335550158929922
9.52,我也能发弹幕了  哈哈哈哈哈哈哈哈哈,1513087100,1a95ea04,0,4031804871
9.557,我❤️人类，我❤️地球！,1513340223,7307b18c,0,4037338853
9.621,一直想看这个，没想到b站有,1530713082,353ee3ac,0,1872184014798848
9.642,哈哈哈～朴树先生，是planet earth，你说反啦～,1507966051,a65f4307,0,3892595164
9.728,呵呵,1541403490,5c51abe8,0,7477036553601024
9.808,感谢up主,1500871721,2550d07d,0,3598015159
9.983,地理老师给的寒假作业就是看这个,1516882821,c3714b7c,0,4212829963
10.011,a-z,1549795337,31b7ec52,0,11876781367754754
10.023,哈哈,1500884306,36fb1940,0,3598842714
10.124,终于看到了,1513842776,4c9ed6a8,0,4050086253
10.161,很久以前就准备看了,1558846177,ad2e4d1e,0,16622027870306306
10.428,开心开心！,1514915853,3b9dbb3e,0,4152833703
10.48,希望有第二季！！！,1519692624,7e28d472,0,4347934657
10.483,从血界战线来的别跑，握爪(ಡωಡ),1507631949,8f7c14d3,0,3881588524
10.56,男朋友推荐的嘻嘻,1557382155,de93528,0,15854458838188034
10.562,另外一个是中文的 转到这里来听英音了,1499512047,6da0a6b8,0,3535466250
10.581,字幕好密集啊。只能关了,1558838807,d65840ce,0,16618164248903680
10.6,镇站之宝,1530963576,b9aa611b,0,2003514803879936
10.619,我们在b站看纪录片，也给我们取个外号叫老年组吧？咋样？,1512385330,9cb3420f,0,4013269048
10.64,太棒了，没想到B站可以看到这部纪录片,1555595312,7c5b6d8,0,14917638604455940
10.687,此处五星,1511974968,a5611c9c,0,3997405768
10.717,不喜欢英文字幕，觉得挡的，请自行选择屏蔽底部字幕！,1555756279,182ac14c,0,15002031371059200
10.751,未被贝爷侵略的好地方！,1504441351,69fed973,0,3785123944
10.776,哪那么多屏蔽词，在b站看纪录片我从来不开弹幕,1531720844,d5184bd8,0,2400541655171072
10.794,太棒了！！！！,1534498397,e1a1c649,0,3856779348803584
10.837,2018 527cunhuo,1527427536,c93c5b90,0,4562282367
11.074,片名：行星地球,1498914544,5629b328,0,3510390620
11.135,我擦，还以为手机屏裂了,1504971980,64a734b2,0,3800488172
11.2,达成成就：我在b站看记录片,1511177640,4836f996,0,3977953925
11.265,"(*°ω°*)ﾉ""非战斗人员请撤离！！",1532416492,e8f2d9c8,0,2765261396508672
11.339,谢谢屏蔽提醒,1517475927,93dc78c3,0,4244033755
11.434,血界战线等等我,1510578981,86b828cc,0,3962434925
11.436,开心啊啊啊啊啊谢谢up,1546173626,2163df1,0,9977961886777344
11.472,居然不用会员！,1554456198,d51ff6b0,0,14320414854479872
