progress,content,ctime,midHash,weight,idStr
0.083,发个弹幕庆祝下,1558931176,b6985718,0,16666592261177346
1.239,蓝色字幕君表示能做多少做多少力所能及吧,1519476592,5a8b2231,0,4340137105
1.239,在下比较菜可能做不完等大神填坑,1519476613,5a8b2231,0,4340138435
3.363,黄色弹幕加入接力,1531444275,213fcdcd,0,2255539457228802
4.713,没人吗？,1545164891,3a484d4,0,9449093934350336
4.899,草少南帅气登场,1509635351,4f4cbfbd,0,3936706971
5.001,此处应有掌声,1558620209,5e84e748,0,16503555977904130
6.46,我来了,1531971018,a81e9ac3,0,2531704649023492
8.737,都是大佬,1554023357,9e8b6aee,0,14093481359704064
9.22,可以看到水母吗,1549011236,da5b1153,0,11465686294462466
10.36,200,1544193836,d6c31ad8,0,8939981344079872
10.592,我回来啦,1500723960,6da0a6b8,0,3591147836
10.88,喵喵喵,1555126070,9725ef2f,0,14671620866048002
11.079,跳过来看浅海！！,1496671824,7a601fc9,0,3433998522
11.286,蓝字施工中。。。2018-02-25,1519530865,5a8b2231,0,4342012258
11.338,winter is coming!,1541688527,d9c03344,0,7626477843513344
11.581,✺◟(∗❛ัᴗ❛ั∗)◞✺,1500365089,10c41714,0,3573981750
12.802,谢谢蓝字大佬,1553360106,8336b85,0,13745746890194944
13.512,黄字施工中。。。2018-07-13,1531444332,213fcdcd,0,2255569526718464
14.342,来咯来咯,1510838288,a422c169,0,3968208235
14.621,上一级没蛇，不要怕,1518109014,770d8305,0,4277654708
15.051,iphone xs max桌面是抄这个的吧2233,1543215986,7c66c049,0,8427306644144128
15.537,终于来了,1502424320,3d846941,0,3679931819
15.617,洞穴没看完，跳过来的，睡前看点颜值高的,1517843061,426c3b2c,0,4258616543
16.554,感谢各位字幕君,1545141196,6bd14362,0,9436670966890496
16.738,直接跳过来看浅海,1557053654,7be1b9b1,0,15682229899362306
16.756,先看深海，再跳過來看淺海,1510923465,53dd763c,0,3970191677
17.31,蓝字施工完毕，多多包涵,1519567349,5a8b2231,0,4343936473
17.879,这种事,1530003472,a3303c0b,0,1500143977234432
17.896,AOW前来观看！,1513156203,db0b0be,0,4033068792
18.005,首师附的你们好,1503234277,5fafbb2e,0,3724759606
18.602,最爱浅海,1499760286,f28ad976,0,3546528618
19.167,每天都会看,1502687027,806d22c9,0,3694407920
19.205,2017/9/15/18:08,1505470137,ceee6240,0,3812934656
19.239,最喜欢大海了,1502170387,7a3833a2,0,3666359556
19.398,看完深海看浅海,1511149126,6b89122e,0,3977162874
19.702,超喜欢看这个啊,1518510538,c8b074f6,0,4294515135
19.741,想看大蟒蛇,1528257062,d2a99e65,0,584522304847874
19.826,＋1,1510724019,40a2ed7b,0,3965565816
20.361,不错,1544339319,869f4fd6,0,9016256713195520
21.291,向上集说的那样我回来了,1548654645,5d5c8365,0,11278730087890946
21.52,2017 8月15日,1502729525,a40e20fc,0,3697580654
21.79,越到后面弹幕越少,1534129764,4d77e891,0,3663509547646980
22.02,先深海再浅海+1,1531971059,a81e9ac3,0,2531726382858240
22.613,也是不容易,1506951859,64ca4d70,0,3854196625
25.138,深海幽闭症,1498366899,b9512503,0,3490097163
26.197,你们在什么时间轴 我们这现在是东哥在美国被仙人跳了？,1557135773,fb691a5f,0,15725284008919044
26.854,欢迎回来,1520757817,7f6ab964,0,4380832295
27.881,我也想看大蟒蛇,1536413920,6e5eb180,0,4861064979677186
28.54,画质好评,1543324347,2569f8ed,0,8484118935371778
28.84,hey,1511763542,f6dbc5cc,0,3992227506
28.963,好美,1554646624,285867a7,0,14420253064822784
29.44,真的最爱浅海,1545996689,e6b04136,0,9885195519393792
29.8,好美,1496679146,e4dbd3c7,0,3434345955
29.98,20170820,1503205141,4e1ed1cc,0,3722621630
30.976,哈哈,1534634452,8e7966a7,0,3928111160229890
31.098,好美的蓝,1536483155,31dfbb8e,0,4897363793018884
32.0,美,1531971075,a81e9ac3,0,2531734639345668
32.345,2017.9.25/17:27,1506332248,4f4cbe5f,0,3836642717
32.467,(⊙o⊙)哇,1500448152,df95a0ff,0,3577655039
33.501,美腻,1502956922,95f8d20,0,3709311322
33.759,太美了,1534061773,f8dc9672,0,3627862702161920
35.137,美,1508115016,ea179e48,0,3897970914
35.211,our planet's continents are fringed by shallow seas,1519476692,5a8b2231,0,4340143363
35.631,南太平洋系列纪录片也很好看，除了最后一集有一些BBC的私货以外,1516977125,b2e78d5c,0,4216221657
35.878,竟然没人？,1496642537,8973c932,0,3432875495
37.311,蓝字你好,1519541575,36895eac,0,4342577627
37.732,壮哉,1517815159,13774380,0,4257002799
37.84,rearly more than two hundred meters deep they lie on the continental shelves,1519476746,5a8b2231,0,4340146825
38.124,我的天好美,1504867522,8bfa0dff,0,3796314362
39.779,画质好棒,1511529503,7daf01e1,0,3985547992
39.943,5,1528533006,b8bc7335,0,729196151177218
39.97,没人再好不过了可以安静看,1496805100,e3f9496f,0,3437502682
40.301,1.5倍比较合适,1501036383,3a714a55,0,3606102592
41.115,超级爱浅海,1513691695,55c0c748,0,4047073577
41.366,最喜欢浅海淡水和深海这三集顺带围观恐惧症戏精,1512226048,f70796d8,0,4008476390
41.506,来看鱼鱼,1545193586,fda475ac,0,9464138278895616
42.001,大陆架,1498284164,2ffc244f,0,3486741164
42.133,深海恐惧症不要怕，这是浅海,1521562084,fa7c1db3,0,4401480762
42.835,hello,1559034712,785eab85,0,16720874895835138
44.499,字幕错了，大陆架,1509192444,5c1ac34b,0,3925608874
45.53,which may stretch sometimes for hundreds of miles,1519476821,5a8b2231,0,4340151664
45.716,卸帅登场,1512294653,20919dc0,0,4010737969
46.442,好好好看,1516792729,4c35229f,0,4209822061
47.339,感谢蓝字,1526824335,8b13eff2,0,4552039417
47.865,深邃♂黑暗♂,1549589299,684dec1e,0,11768758265708546
48.02,the deep♂dark♂fantasies,1496931023,3af4e722,0,3441715245
49.348,"before the sea floor drops into deeper,darker waters",1519476857,5a8b2231,0,4340153975
52.051,。,1554717449,a3d7006c,0,14457385366585344
53.316,deep dark～water,1557326014,d575132d,0,15825024872611844
55.241,草少南多次草少南再次登场,1509635688,4f4cbfbd,0,3936714808
55.661,altogether they constitute a mere eight percent of the world's oceans,1519476923,5a8b2231,0,4340158377
