,starts,ends
0,27.648040033361134,28.148457047539615
1,76.39699749791492,76.8974145120934
2,78.19015846538782,78.98248540450375
3,85.48790658882402,86.07172643869892
4,127.68974145120934,128.98248540450376
5,147.4562135112594,149.08256880733944
6,226.39699749791492,231.35946622185153
7,234.32026688907422,234.94578815679733
8,246.78899082568807,248.24854045037532
9,255.17097581317765,255.79649708090074
10,272.97748123436196,273.14428690575477
11,274.43703085904923,275.0625521267723
12,277.18932443703085,277.77314428690573
13,282.3603002502085,283.48623853211006
14,288.11509591326103,288.65721434528774
15,303.7114261884904,304.54545454545456
16,311.5512927439533,312.3436196830692
17,329.8165137614679,330.5254378648874
18,348.9574645537948,349.3744787322769
19,371.8098415346122,372.5187656380317
20,381.94328607172645,382.9024186822352
21,391.0341951626355,393.5362802335279
22,413.511259382819,413.9699749791493
23,436.8223519599666,437.6563803169308
24,450.0417014178482,450.3336113427857
25,459.5496246872394,460.2585487906589
26,465.72143452877395,466.3886572143453
27,468.72393661384484,469.557964970809
28,470.767306088407,472.1434528773978
29,473.2693911592994,474.60383653044204
30,475.6463719766472,477.68974145120933
31,481.9849874895746,484.61217681401166
32,494.5371142618849,495.03753127606336
33,617.8899082568807,619.557964970809
34,674.1451209341118,674.8957464553795
35,678.9407839866556,679.7331109257715
36,727.4395329441201,728.023352793995
37,729.0241868223519,729.6080066722268
38,732.6105087572977,733.4028356964137
39,735.487906588824,739.0325271059216
40,745.7047539616347,746.4136780650542
41,747.7481234361968,748.3319432860717
42,749.2493744787323,749.8748957464554
43,751.3761467889908,752.8356964136781
44,754.3369474562135,754.8790658882402
45,758.2151793160967,758.9658048373644
46,759.883236030025,761.2176814011676
47,762.2185154295246,762.4687239366139
48,776.4386989157631,776.9808173477899
49,791.326105087573,792.0767306088406
50,793.2860717264386,793.8281901584654
51,838.2402001668056,839.0742285237698
52,859.4245204336947,860.0917431192661
53,862.2185154295246,862.9691409507923
54,871.1426188490409,872.0183486238532
55,876.3135946622185,877.0642201834862
56,953.7948290241868,954.3369474562135
57,963.9699749791492,964.8040033361134
58,976.1884904086738,977.3561301084237
59,978.440366972477,979.0658882402001
60,982.0266889074228,982.7356130108424
61,984.8623853211009,985.696413678065
62,986.7806505421185,988.115095913261
63,989.0742285237698,989.8248540450376
64,993.9949958298582,994.7456213511259
65,1003.2944120100083,1003.7948290241868
66,1009.1743119266055,1009.7164303586321
67,1010.6338615512927,1011.3427856547122
68,1024.603836530442,1025.81317764804
69,1027.6063386155129,1028.398665554629
70,1167.0975813177647,1167.8482068390324
71,1178.60717264387,1179.3994995829858
72,1182.7773144286905,1183.5696413678065
73,1446.6221851542953,1448.2068390325271
74,1454.7956630525437,1455.3377814845705
75,1456.3386155129274,1457.1309424520434
76,1459.883236030025,1460.6755629691409
77,1586.6555462885738,1589.1159299416179
78,1600.0834028356965,1600.7089241034196
79,1605.7547956630526,1609.9249374478732
