,starts,ends
0,27.659574468085108,28.160200250312894
1,76.42886942010847,76.92949520233626
2,78.22277847309137,80.10012515644556
3,85.5235711305799,86.10763454317897
4,87.52607425949104,88.4438881935753
5,127.7430120984564,129.03629536921153
6,143.2206925323321,143.97163120567376
7,147.5177304964539,149.1447642886942
8,227.32582394659994,227.82644972882773
9,228.70254484772633,229.16145181476847
10,230.2044221944097,231.45598664997914
11,234.4180225281602,235.04380475594493
12,246.89194826866918,248.3521068001669
13,255.27743012098458,255.9032123487693
14,273.0913642052566,273.25823946599917
15,274.5515227367543,275.177304964539
16,277.30496453900713,277.8890279516062
17,282.4780976220276,283.60450563204006
18,288.2352941176471,288.7776387150605
19,303.8381309970797,304.6725073007927
20,311.68126825198163,312.473925740509
21,317.6053400083438,318.52315394242805
22,329.9541093032958,330.6633291614518
23,349.1030454735086,349.52023362536505
24,371.9649561952441,372.6741760534001
25,392.282019190655,393.70045890696707
26,413.6837713808928,414.1426783479349
27,437.00458906967043,439.7163120567376
28,450.22945348352107,450.5214851898206
29,459.741343345849,460.45056320400505
30,465.915727993325,466.5832290362954
31,470.9637046307885,472.3404255319149
32,473.46683354192743,474.8018356278682
33,475.8448060075094,476.3454317897372
34,477.22152690863584,477.8890279516062
35,482.186065915728,484.8143512724239
36,494.74342928660826,495.2440550688361
37,599.4159365874009,600.1668752607426
38,618.1476846057573,619.8164372131831
39,628.3270755110556,630.0792657488528
40,674.4263662911974,675.1773049645391
41,678.3062161034627,680.0166875260743
42,727.7430120984565,729.9123904881102
43,732.9161451814768,733.7088026700042
44,737.4217772215269,739.3408427200668
45,741.927409261577,742.8452231956613
46,748.0600750938673,750.1877346683355
47,751.6896120150188,753.1497705465165
48,754.6516478931999,756.0283687943263
49,758.5314977054652,759.2824363788069
50,760.2002503128912,761.5352523988319
51,762.5365039632875,762.7868168544014
52,776.7626199415937,777.3049645390071
53,793.6170212765958,794.1593658740093
54,838.5899040467251,839.424280350438
55,859.7830621610346,860.450563204005
56,861.6604088443888,863.3291614518148
57,871.506049228202,872.3821443471006
58,876.6791823112223,877.430120984564
59,883.6879432624114,884.4806007509387
60,954.1927409261577,954.7350855235712
61,976.5957446808511,977.7638715060493
62,978.8485607008762,979.4743429286609
63,982.436378806842,983.1455986649979
64,987.9849812265333,988.5273258239466
65,989.4868585732165,990.2377972465582
66,994.4096787651231,995.1606174384648
67,1003.7129745515227,1004.2136003337506
68,1009.5953274926993,1010.1376720901127
69,1025.0312891113892,1026.2411347517732
70,1028.035043804756,1028.8277012932833
71,1183.270755110555,1184.0634125990823
72,1212.0150187734669,1213.5168961201502
73,1247.8931998331248,1248.6441385064666
74,1438.7984981226534,1439.7163120567377
75,1447.2256987901544,1447.9766374634962
76,1455.4025865665417,1455.944931163955
77,1460.4922820191907,1461.284939507718
78,1587.3174801835628,1589.7788902795162
79,1600.7509386733418,1601.3767209011264
80,1606.42469753859,1608.8443888193576
81,1609.762202753442,1610.596579057155
82,1612.5156445556947,1613.6003337505215
83,1614.6433041301627,1615.310805173133
84,1621.985815602837,1622.5281602002503
85,1668.418856904464,1669.5035460992908
86,1670.7133917396748,1671.4226115978306
87,1684.2720066750105,1684.7309136420527
88,1703.0037546933668,1704.3804755944932
89,1712.7659574468087,1713.4751773049645
90,1723.8214434710055,1725.1147267417607
91,1727.9516061743848,1728.6608260325409
92,1731.247392574051,1731.7897371714644
93,1732.9161451814768,1733.4167709637047
94,1734.334584897789,1734.9603671255736
95,1741.8022528160202,1743.0538172715897
96,1746.3913224864414,1748.1852315394244
97,1751.3558614935337,1752.7743012098458
98,1754.8185231539426,1756.070087609512
99,1757.1130579891533,1758.6149353358364
100,1761.410095953275,1765.4151022110973
101,1767.7513558614937,1768.1268251981644
102,1770.3796412181896,1770.8802670004172
103,1772.0483938256154,1772.7158948685858
104,1800.584063412599,1801.335002085941
105,1810.221109720484,1810.93032957864
106,1825.8239465999166,1826.5331664580726
107,1843.971631205674,1844.5139758030873
108,1845.5569461827286,1845.974134334585
109,1853.6503963287444,1854.4430538172717
110,1861.8272841051314,1863.2874426366293
111,1891.697955778056,1892.407175636212
112,1942.2194409678766,1942.9703796412182
113,1957.6971214017524,1958.322903629537
114,2010.596579057155,2011.2640801001253
115,2046.6416353775553,2047.058823529412
116,2123.529411764706,2124.363788068419
117,2142.5114726741763,2143.2624113475176
118,2156.320400500626,2157.0713391739678
119,2181.6854401335004,2185.52357113058
120,2189.2365456821026,2191.239048811014
121,2206.7584480600754,2206.9670421360033
122,2231.9148936170213,2232.540675844806
123,2234.4597413433457,2234.7100542344597
124,2237.672090112641,2238.172715894869
125,2239.090529828953,2239.6328744263665
126,2246.349603671256,2247.851481017939
127,2255.569461827284,2256.7375886524824
128,2272.7576136837715,2273.4668335419274
129,2275.7613683771383,2276.136837713809
130,2277.8890279516063,2278.389653733834
131,2306.090947017105,2306.299541093033
132,2317.6470588235297,2318.3562786816856
133,2335.0855235711306,2336.462244472257
134,2344.6391322486443,2345.6821026282855
135,2353.566958698373,2353.900709219858
136,2355.6528994576556,2359.2407175636213
137,2360.7425949103044,2361.4100959532752
138,2365.5819774718398,2366.416353775553
139,2381.6854401335004,2384.3137254901962
140,2400.750938673342,2401.8356278681686
141,2409.9290780141846,2411.5561118064247
142,2412.8076762619944,2413.224864413851
143,2419.6495619524408,2420.0250312891117
144,2424.9061326658325,2425.4067584480604
145,2426.241134751773,2426.7834793491866
146,2441.0513141426786,2441.718815185649
147,2468.919482686692,2469.7955778055903
148,2478.4313725490197,2479.140592407176
149,2492.9078014184397,2494.6182728410513
150,2502.9203170629953,2503.3792240300377
151,2504.8393825615353,2505.0896954526493
152,2515.4359616186903,2516.145181476846
153,2724.9061326658325,2725.198164372132
154,2752.1902377972465,2752.9411764705883
155,2756.4038381309974,2756.821026282854
156,2792.6992073425117,2793.57530246141
157,2800.5423445974134,2801.793909052983
158,2804.672507300793,2805.840634125991
159,2806.800166875261,2807.1756362119318
160,2813.1831455986653,2813.6837713808927
161,2816.9795577805594,2817.396745932416
162,2820.442219440968,2821.068001668753
163,2822.1526908635797,2822.9036295369215
164,2825.8656654151023,2826.36629119733
165,2829.9123904881103,2831.4559866499794
166,2857.738840216938,2858.322903629537
167,2874.0508969545267,2874.968710888611
168,2881.226533166458,2882.102628285357
169,2893.3249895702966,2894.4931163954943
170,2897.9140592407175,2898.6649979140593
171,2903.003754693367,2905.2565707133917
172,2911.4726741760537,2913.0162703379224
173,2923.070504797664,2923.654568210263
174,2925.0312891113895,2926.825198164372
175,2943.72131831456,2944.7642886942012
176,2953.1497705465167,2953.5252398831876
177,2956.654151022111,2957.154776804339
178,2960.325406758448,2960.867751355862
179,2964.163537755528,2964.5807259073845
180,2967.7513558614937,2968.0851063829787
181,2971.297455152274,2971.7146433041303
182,2974.7601168126826,2975.219023779725
